benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,1,138.27490800758824,138.5925956896972,138.91731802141294,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,1,85.43868904234841,85.77767161943484,86.31027798401192,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,1,56.57510197488591,56.878747756709345,57.25732498103753,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,1,42.951714945957065,43.114288776996545,43.3328149956651,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,1,37.597891001496464,37.80776036786847,38.04303298238665,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,1,34.859756007790565,35.09177906089462,35.33728595357388,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,1,30.49592097522691,30.75294744805433,31.009795027785003,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,1,28.312904993072152,28.554072729311883,28.835950943175703,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,1,28.709897014778107,28.884168233489618,29.12553201895207,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,1,26.526999950874597,26.992583848768845,27.357499988283962,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,1,25.726669002324343,25.950277529191226,26.17588802240789,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,1,25.888068019412458,26.152971680858172,26.455554994754493,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,1,25.86321602575481,26.156434179865755,26.622076984494925,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,1,24.889469030313194,25.20606173959095,25.581006018910557,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,1,25.16747801564634,25.43274279218167,25.6691089598462,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,1,24.608165957033634,24.90866113686934,25.287390977609903,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,2,132.00777804013342,132.53240196907427,139.7397769615054,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,2,83.60317000187933,85.60392533079721,91.35857701767236,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,2,98.29806600464508,99.7844448912656,104.94126001140103,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,2,50.54718104656786,53.51962641987484,58.05117997806519,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,2,87.864892964717,89.79973453795537,94.07526499126107,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,2,40.943976026028395,42.35899413819425,47.90327599039301,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,2,87.09564001765102,87.48132509354036,92.7835309994407,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,2,32.58405701490119,33.884556597913615,39.82931899372488,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,2,86.61143598146737,87.88391885813326,92.72820496698841,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,2,31.11983899725601,33.155676637543365,38.274272985290736,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,2,87.62076601851732,90.0266902812291,94.78043497074395,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,2,29.576336964964867,30.271463158424012,36.196139990352094,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,2,90.6710130511783,91.4458207890857,97.01571200275794,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,2,28.19166798144579,28.77478109963704,34.464831987861544,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,2,92.49332698527724,94.39582046936266,99.83880497748032,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,2,26.935736008454114,30.02684454084374,34.44542002398521,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,3,157.03294600825757,158.86164639727212,178.6515520652756,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,3,96.19323106016964,98.49251509527676,110.14342005364597,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,3,108.62443991936743,110.9723467938602,119.37280197162181,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,3,56.4384360332042,59.0018427639734,66.12388591747731,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,3,95.27410694863647,97.75002818438224,104.63584691751748,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,3,45.705344062298536,48.29197927960195,55.21537805907428,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,3,87.74831797927618,90.23265046416782,96.73801099415869,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,3,36.74478596076369,38.51353733683936,45.650586020201445,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,3,88.90928293112665,89.51317163999192,98.01076108124107,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,3,34.68464897014201,35.280317548895255,43.16268104594201,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,3,93.05804991163313,95.31742843217216,102.84882097039372,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,3,32.79482293874025,34.59001367678866,42.01671201735735,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,3,91.80622699204832,94.53923100722022,101.61195194814354,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,3,31.202020007185638,33.491591485217214,41.387559031136334,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,3,94.09543289802969,96.10765184508637,103.66606002207845,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,3,29.66022805776447,30.741532203974202,39.50628498569131,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,1,4,174.27942692302167,177.5464052625466,199.40031098667532,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,2,4,105.40589597076178,111.29287693300284,124.71349094994366,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,3,4,113.55857597663999,118.84617275674827,126.89756194595248,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,4,4,60.92843902297318,65.18598259892315,73.27148201875389,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,5,4,95.18926101736724,97.87084663286805,106.16598499473184,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,6,4,48.838220071047544,52.31377626187168,60.21964200772345,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,7,4,93.72551797423512,94.69789954135194,99.9359170673415,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,8,4,38.871297030709684,43.50727631826885,50.87339004967362,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,9,4,91.05031192302704,92.35751161933877,101.44932090770453,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,10,4,36.621197941713035,40.70340836653486,47.77932201977819,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,11,4,90.82885598763824,94.71610607928596,101.84531100094318,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,12,4,35.1155330426991,38.63156637758948,45.973305008374155,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,13,4,93.3153290534392,94.16984302224591,99.5428409660235,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,14,4,33.3577289711684,38.172495438484475,46.96764599066228,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,15,4,96.20485606137663,97.03175078728236,102.71904605906457,0.0
gpt2_manual_script,sequential,numactl,torch,default,1,1,16,4,31.615138985216618,32.15441465144977,38.278014049865305,0.0
