benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,1,138.46740200006025,138.77212744000644,140.30007500014108,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,1,85.61713900007817,86.32021307998002,88.45679300020493,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,1,55.20968700011508,55.44959006996123,55.93401099986295,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,1,42.792569999619445,43.024149889997716,43.30803399989236,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,1,36.92190900028436,37.14008988000842,37.439590000303724,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,1,34.29124400008732,34.56299334997311,34.81162499974744,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,1,29.959841999698256,30.355755410014353,30.793915999765886,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,1,27.7368669999305,27.999314050016437,28.560879999986355,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,1,27.820192000035604,28.094363019968114,28.49531499987279,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,1,25.450703999922553,25.754513860010775,26.11400900013905,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,1,24.772756999936973,25.136011719987437,25.530956000238803,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,1,25.363609000123688,25.78995334998126,26.280675000180054,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,1,24.91868099968997,25.187440439995044,25.56959999992614,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,1,23.728438000034657,24.0839235500016,24.614294999992126,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,1,24.165929999981017,24.418191630002184,24.894594000215875,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,1,23.729491000267444,24.038708470011443,24.551601999974082,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,2,130.45311399991988,130.8997266099732,138.3829549999973,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,2,83.21614399983446,83.86002338998424,89.04688199982047,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,2,98.04024400000344,98.33485915999063,102.64973900029872,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,2,49.855486000069504,50.278345140000056,54.34217100037131,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,2,88.14609800037942,88.43115050999131,92.57989200023076,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,2,40.19341999992321,40.57591226000113,44.86863500005711,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,2,87.36705000001166,87.65859862997786,91.44979099983175,0.0
gpt2_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,2,32.21197699986078,32.592181989984965,37.102517999755946,0.0
